CODE,Id,lat,lon,.geo
1743,0,39.07236464,-77.51317789,"{""type"":""Polygon"",""coordinates"":[[[-77.51792686703541,39.077113627040326],[-77.51792686703541,39.06761573963437],[-77.50842890852641,39.06761566952275],[-77.50842890852641,39.07711356751843],[-77.51792686703541,39.077113627040326]]]}"
1744,0,38.77786331,-77.13317777,"{""type"":""Polygon"",""coordinates"":[[[-77.12842883250067,38.773114381544545],[-77.12842883250067,38.78261222501216],[-77.13792670121214,38.782612295585885],[-77.13792670121214,38.773114377614604],[-77.12842883250067,38.773114381544545]]]}"
1745,0,38.72086261,-77.4656773,"{""type"":""Polygon"",""coordinates"":[[[-77.47042847346253,38.71611365472894],[-77.46092613068429,38.71611366332873],[-77.46092613068429,38.72561159596962],[-77.47042847346253,38.72561157697111],[-77.47042847346253,38.71611365472894]]]}"
1746,0,39.18610551,-77.12393642,"{""type"":""Polygon"",""coordinates"":[[[-77.12842883250067,39.191114964891554],[-77.12842883250067,39.181612660388126],[-77.11892643387604,39.1816126418494],[-77.11892643387604,39.187623457431584],[-77.12221730020669,39.190927716053636],[-77.12235109261701,39.19111494241349],[-77.12842883250067,39.191114964891554]]]}"
1747,0,38.97736348,-76.8196784,"{""type"":""Polygon"",""coordinates"":[[[-76.82442957860296,38.98211247411967],[-76.82442957860296,38.972614567564406],[-76.8149272151632,38.972614515286985],[-76.8149272151632,38.98211241933543],[-76.82442957860296,38.98211247411967]]]}"
1748,0,38.73036273,-77.51317789,"{""type"":""Polygon"",""coordinates"":[[[-77.50842890852641,38.73511390587694],[-77.51792686703541,38.73511388797745],[-77.51792686703541,38.725611576187006],[-77.50842890852641,38.7256115828055],[-77.50842890852641,38.73511390587694]]]}"
1749,0,38.59736339,-77.30417759,"{""type"":""Polygon"",""coordinates"":[[[-77.30892877560845,38.59261445138286],[-77.29942640684195,38.59261445280534],[-77.29942640684195,38.602112342933495],[-77.30892877560845,38.60211233390543],[-77.30892877560845,38.59261445138286]]]}"
1750,0,38.5247572,-77.31971831,"{""type"":""Polygon"",""coordinates"":[[[-77.32173531854266,38.52611582833766],[-77.32160595857813,38.52519284691041],[-77.31926492159774,38.52286957842442],[-77.31842669080879,38.522446010051134],[-77.31842669080879,38.52611581273499],[-77.32173531854266,38.52611582833766]]]}"
1751,0,38.46436397,-77.48467752,"{""type"":""Polygon"",""coordinates"":[[[-77.48942869439279,38.4691151384543],[-77.48942869439279,38.459612819173785],[-77.47992635247294,38.459612776942976],[-77.47992635247294,38.469115186462744],[-77.48942869439279,38.4691151384543]]]}"
1752,0,38.92986292,-76.89567711,"{""type"":""Polygon"",""coordinates"":[[[-76.90042603577021,38.934614105603735],[-76.90042603577021,38.92511178185305],[-76.89092818989599,38.925111763948465],[-76.89092818989599,38.93461408675098],[-76.90042603577021,38.934614105603735]]]}"
1753,0,39.15786343,-77.15217801,"{""type"":""Polygon"",""coordinates"":[[[-77.14742908063263,39.153114494506944],[-77.14742908063263,39.16261237807118],[-77.1569269289516,39.16261242658589],[-77.1569269289516,39.15311446844814],[-77.14742908063263,39.153114494506944]]]}"
1754,0,38.89186469,-77.39917651,"{""type"":""Polygon"",""coordinates"":[[[-77.39442758934085,38.89661366572576],[-77.40392543781373,38.89661362489492],[-77.40392543781373,38.88711573534688],[-77.39442758934085,38.88711576733893],[-77.39442758934085,38.89661366572576]]]}"
